9,Merthyr Tydfil,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Merthyr Tydfil,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Merthyr Tydfil,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Monmouthshire,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Monmouthshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Monmouthshire,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Monmouthshire,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Monmouthshire,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Monmouthshire,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Monmouthshire,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Monmouthshire,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Monmouthshire,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Monmouthshire,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Monmouthshire,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Monmouthshire,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Neath Port Talbot,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Neath Port Talbot,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Neath Port Talbot,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Neath Port Talbot,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Neath Port Talbot,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Neath Port Talbot,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Neath Port Talbot,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Neath Port Talbot,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Neath Port Talbot,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Neath Port Talbot,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Neath Port Talbot,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Neath Port Talbot,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Newport,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Newport,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Newport,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Newport,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Newport,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Newport,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Newport,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Newport,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Newport,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Newport,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Newport,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Newport,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Pembrokeshire,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Pembrokeshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
