1,England,Bristol,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Bristol,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Bristol,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Bristol,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bristol,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
0,England,Bromley,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Bromley,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Bromley,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Bromley,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Bromley,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bromley,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
0,England,Buckinghamshire,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Buckinghamshire,Winter Holidays,20 Dec 2018(Thu),2 Jan 2019(Wed)
2,England,Buckinghamshire,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Buckinghamshire,Spring Holidays,8 Apr 2019(Mon),23 Apr 2019(Tue)
4,England,Buckinghamshire,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Buckinghamshire,Summer Holidays,25 Jul 2019(Thu),3 Sep 2019(Tue)
0,England,Bury,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Bury,Winter Holidays,24 Dec 2018(Mon),3 Jan 2019(Thu)
2,England,Bury,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Bury,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
4,England,Bury,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
5,England,Bury,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
6,England,Bury,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
